cciBuy,8/24/2022 10:36,4140.5,-237.5,-7925
cciExit,8/24/2022 10:33,4137.75,462.5,-7687.5
cciBuy,8/24/2022 10:07,4128.5,462.5,-7687.5
cciExit,8/24/2022 10:04,4126.5,-162.5,-8150
cciBuy,8/24/2022 9:58,4129.75,-162.5,-8150
cciExit,8/24/2022 9:55,4127.5,87.5,-7987.5
cciBuy,8/24/2022 9:37,4125.75,87.5,-7987.5
cciExit,8/24/2022 9:31,4127,-112.5,-8075
cciBuy,8/24/2022 9:31,4129.25,-112.5,-8075
cciExit,8/24/2022 9:22,4129,-37.5,-7962.5
cciBuy,8/24/2022 9:20,4129.75,-37.5,-7962.5
cciExit,8/24/2022 9:12,4130.5,-100,-7925
cciBuy,8/24/2022 9:07,4132.5,-100,-7925
cciExit,8/24/2022 9:02,4131.5,37.5,-7825
cciBuy,8/24/2022 8:48,4130.75,37.5,-7825
cciExit,8/24/2022 8:45,4130,-112.5,-7862.5
cciBuy,8/24/2022 8:45,4132.25,-112.5,-7862.5
cciExit,8/24/2022 8:35,4135.25,-62.5,-7750
cciBuy,8/24/2022 8:35,4136.5,-62.5,-7750
cciExit,8/24/2022 8:31,4135.75,-87.5,-7687.5
cciBuy,8/24/2022 8:25,4137.5,-87.5,-7687.5
cciExit,8/24/2022 7:28,4129.75,0,-7600
cciBuy,8/24/2022 7:28,4129.75,0,-7600
cciExit,8/24/2022 7:21,4130,200,-7600
cciBuy,8/24/2022 6:58,4126,200,-7600
cciExit,8/24/2022 6:55,4126,-37.5,-7800
cciBuy,8/24/2022 6:54,4126.75,-37.5,-7800
cciExit,8/24/2022 6:52,4126.5,-150,-7762.5
cciBuy,8/24/2022 6:44,4129.5,-150,-7762.5
cciExit,8/24/2022 6:40,4128,-37.5,-7612.5
cciBuy,8/24/2022 6:29,4128.75,-37.5,-7612.5
cciExit,8/24/2022 6:18,4128.5,50,-7575
cciBuy,8/24/2022 6:01,4127.5,50,-7575
cciExit,8/24/2022 5:58,4126.25,-87.5,-7625
